date	hour	energy_consumption_mwh	temperature_celsius	day_type	month	season	baseline_demand	industrial_load	residential_load	renewable_generation	grid_frequency	demand_forecast_naive	trend_component	seasonal_component	random_component
2024-01-01	0	2850	-5	Holiday	1	Winter	2400	800	1650	320	49.98	2800	2650	180	20
2024-01-01	1	2720	-6	Holiday	1	Winter	2400	650	1720	280	49.99	2680	2660	50	10
2024-01-01	2	2650	-7	Holiday	1	Winter	2400	580	1680	250	50.01	2620	2670	-30	10
2024-01-01	3	2620	-7	Holiday	1	Winter	2400	520	1650	220	50.00	2590	2680	-70	10
2024-01-01	4	2680	-6	Holiday	1	Winter	2400	550	1720	190	49.99	2640	2690	-20	10
2024-01-01	5	2780	-5	Holiday	1	Winter	2400	620	1800	160	50.02	2740	2700	70	10
2024-01-01	6	3120	-4	Holiday	1	Winter	2400	850	1950	180	50.01	3080	2710	390	20
2024-01-01	7	3580	-3	Holiday	1	Winter	2400	1180	2050	220	49.98	3540	2720	840	20
2024-01-01	8	3890	-2	Holiday	1	Winter	2400	1450	2140	250	49.97	3850	2730	1140	20
2024-01-01	9	4120	-1	Holiday	1	Winter	2400	1680	2190	280	49.99	4080	2740	1360	20
2024-01-01	10	4280	0	Holiday	1	Winter	2400	1850	2230	320	50.00	4240	2750	1510	20
2024-01-01	11	4350	1	Holiday	1	Winter	2400	1920	2250	350	50.01	4310	2760	1570	20
2024-01-01	12	4380	2	Holiday	1	Winter	2400	1950	2260	380	50.02	4340	2770	1590	20
2024-01-01	13	4320	2	Holiday	1	Winter	2400	1890	2250	420	50.01	4280	2780	1520	20
2024-01-01	14	4250	1	Holiday	1	Winter	2400	1820	2230	450	50.00	4210	2790	1440	20
2024-01-01	15	4180	0	Holiday	1	Winter	2400	1750	2210	380	49.99	4140	2800	1360	20
2024-01-01	16	4050	-1	Holiday	1	Winter	2400	1620	2180	320	49.98	4010	2810	1220	20
2024-01-01	17	3920	-2	Holiday	1	Winter	2400	1490	2150	280	49.99	3880	2820	1080	20
2024-01-01	18	3780	-3	Holiday	1	Winter	2400	1350	2120	250	50.00	3740	2830	930	20
2024-01-01	19	3650	-4	Holiday	1	Winter	2400	1220	2090	220	50.01	3610	2840	790	20
2024-01-01	20	3520	-5	Holiday	1	Winter	2400	1090	2060	190	50.02	3480	2850	650	20
2024-01-01	21	3390	-5	Holiday	1	Winter	2400	960	2030	160	50.01	3350	2860	510	20
2024-01-01	22	3180	-6	Holiday	1	Winter	2400	780	1980	180	50.00	3140	2870	290	20
2024-01-01	23	2980	-6	Holiday	1	Winter	2400	620	1880	220	49.99	2940	2880	80	20
2024-01-02	0	2890	-7	Weekday	1	Winter	2450	820	1690	250	49.98	2850	2890	-10	10
2024-01-02	1	2760	-8	Weekday	1	Winter	2450	670	1740	280	49.99	2720	2900	-150	10
2024-01-02	2	2690	-9	Weekday	1	Winter	2450	600	1710	320	50.01	2650	2910	-230	10
2024-01-02	3	2660	-9	Weekday	1	Winter	2450	540	1680	350	50.00	2620	2920	-270	10
2024-01-02	4	2720	-8	Weekday	1	Winter	2450	570	1750	320	49.99	2680	2930	-220	10	
2024-01-02	5	2820	-7	Weekday	1	Winter	2450	640	1820	280	50.02	2780	2940	-130	10
2024-01-02	6	3260	-6	Weekday	1	Winter	2450	950	2010	250	50.01	3220	2950	300	10
2024-01-02	7	3890	-5	Weekday	1	Winter	2450	1480	2160	220	49.98	3850	2960	920	10
2024-01-02	8	4520	-4	Weekday	1	Winter	2450	2070	2250	190	49.97	4480	2970	1540	10
2024-01-02	9	4980	-3	Weekday	1	Winter	2450	2530	2300	160	49.99	4940	2980	1990	10
2024-01-02	10	5280	-2	Weekday	1	Winter	2450	2830	2350	180	50.00	5240	2990	2280	10
2024-01-02	11	5450	-1	Weekday	1	Winter	2450	3000	2380	220	50.01	5410	3000	2440	10
2024-01-02	12	5520	0	Weekday	1	Winter	2450	3070	2400	250	50.02	5480	3010	2500	10
2024-01-02	13	5480	0	Weekday	1	Winter	2450	3030	2390	280	50.01	5440	3020	2450	10
2024-01-02	14	5420	-1	Weekday	1	Winter	2450	2970	2380	320	50.00	5380	3030	2380	10
2024-01-02	15	5340	-2	Weekday	1	Winter	2450	2890	2370	350	49.99	5300	3040	2290	10
2024-01-02	16	5180	-3	Weekday	1	Winter	2450	2730	2350	280	49.98	5140	3050	2120	10
2024-01-02	17	4980	-4	Weekday	1	Winter	2450	2530	2320	250	49.99	4940	3060	1910	10
2024-01-02	18	4780	-5	Weekday	1	Winter	2450	2330	2290	220	50.00	4740	3070	1700	10
2024-01-02	19	4580	-6	Weekday	1	Winter	2450	2130	2260	190	50.01	4540	3080	1490	10
2024-01-02	20	4380	-7	Weekday	1	Winter	2450	1930	2230	160	50.02	4340	3090	1280	10
2024-01-02	21	4180	-7	Weekday	1	Winter	2450	1730	2200	180	50.01	4140	3100	1070	10
2024-01-02	22	3920	-8	Weekday	1	Winter	2450	1470	2150	220	50.00	3880	3110	800	10
2024-01-02	23	3680	-8	Weekday	1	Winter	2450	1230	2100	250	49.99	3640	3120	550	10
2024-01-03	0	2930	-9	Weekday	1	Winter	2500	840	1710	280	49.98	2890	3130	-210	10
2024-01-03	1	2800	-10	Weekday	1	Winter	2500	690	1760	320	49.99	2760	3140	-350	10
2024-01-03	2	2730	-11	Weekday	1	Winter	2500	620	1730	350	50.01	2690	3150	-430	10
2024-01-03	3	2700	-11	Weekday	1	Winter	2500	560	1700	320	50.00	2660	3160	-470	10
2024-01-03	4	2760	-10	Weekday	1	Winter	2500	590	1770	280	49.99	2720	3170	-420	10
2024-01-03	5	2860	-9	Weekday	1	Winter	2500	660	1840	250	50.02	2820	3180	-330	10
2024-01-03	6	3300	-8	Weekday	1	Winter	2500	970	2030	220	50.01	3260	3190	100	10
2024-01-03	7	3930	-7	Weekday	1	Winter	2500	1500	2180	190	49.98	3890	3200	720	10
2024-01-03	8	4560	-6	Weekday	1	Winter	2500	2090	2270	160	49.97	4520	3210	1340	10
2024-01-03	9	5020	-5	Weekday	1	Winter	2500	2550	2320	180	49.99	4980	3220	1790	10
2024-01-03	10	5320	-4	Weekday	1	Winter	2500	2850	2370	220	50.00	5280	3230	2080	10
2024-01-03	11	5490	-3	Weekday	1	Winter	2500	3020	2400	250	50.01	5450	3240	2240	10
